Provincia,Municipio,Departamento
Formosa,Villa Escolar ,Laishí
Formosa,Villa General Guemes,Patiño
Jujuy,La Esperanza,San Pedro
Jujuy,La Mendieta,San Pedro
Jujuy,San Pedro de Jujuy,San Pedro
Neuquén ,Aluminé,Aluminé
Neuquén ,Andacollo,Minas
Neuquén ,Añelo,Añelo
Neuquén ,Bajada del Agrio ,Picunches
Neuquén ,Barrancas,Pehuenches
Neuquén ,Buta Ranquil,Pehuenches
Neuquén ,Caviahue Copahue,Ñorquín
Neuquén ,Centenario,Confluencia
Neuquén ,Chos Malal,Chos Malal
Neuquén ,Cutral-Có ,Confluencia
Neuquén ,El Cholar,Ñorquín
Neuquén ,El Huecú,Ñorquín
Neuquén ,Huiganco,Minas
Neuquén ,Junín de los Andes,Huiliches
Neuquén ,Las Coloradas,Catán Lil
Neuquén ,Las Lajas,Picunches
Neuquén ,Las Ovejas,Minas
Neuquén ,Los Miches,Minas
Neuquén ,Loncopué,Loncopué
Neuquén ,Mariano Moreno,Zapala
Neuquén ,Neuquén Capital,Confluencia
Neuquén ,Picún Leufú,Picún Leufú
Neuquén ,Piedra del Águila,Collón Curá
Neuquén ,Plaza Huincul,Confluencia
Neuquén ,Plottier,Confluencia
Neuquén ,Rincón de los Sauces,Pehuenches
Neuquén ,San Martín de los Andes,Lácar
Neuquén ,San Patricio del Chañar,Añelo
Neuquén ,Senillosa,Confluencia
Neuquén ,Taquimilán ,Ñorquín
Neuquén ,Tricao Malal,Chos Malal
Neuquén ,Villa El Chocón,Confluencia
Neuquén ,Villa La Angostura,Los Lagos
Neuquén ,Villa Pehuenia Moquehue,Aluminé
Neuquén ,Vista Alegre ,Confluencia
Neuquén ,Zapala,Zapala
Río Negro,Allen,General Roca
Río Negro,Campo Grande,General Roca
Río Negro,Catriel,General Roca
Río Negro,Cervantes,General Roca
Río Negro,Chichinales,General Roca
Río Negro,Chimpay,Avellaneda
Río Negro,Choele Choel,Avellaneda
Río Negro,Cinco Saltos,General Roca
Río Negro,Cipolletti,General Roca
Río Negro,Comallo,Pilcaniyeu
Río Negro,Contralmirante Cordero,General Roca
Río Negro,Coronel Belisle,Avellaneda
Río Negro,Darwin,Avellaneda
Río Negro,Dina Huapi,Pilcaniyeu
Río Negro,El Bolsón,Bariloche
Río Negro,General Conesa,Conesa
Río Negro,General Enrique Godoy,General Roca
Río Negro,General Fernández Oro,General Roca
Río Negro,General Roca,General Roca
Río Negro,Guardia Mitre,Adolfo Alsina
Río Negro,"Ingeniero Luis A, Huergo",General Roca
Río Negro,Ingeniero Jacobacci,25 de Mayo
Río Negro,Lamarque,Avellaneda
Río Negro,Los Menucos,25 de Mayo
Río Negro,Luis Beltrán,Avellaneda
Río Negro,Mainqué,General Roca
Río Negro,Maquinchao,25 de Mayo
Río Negro,Ministro Ramos Mexía,9 de Julio
Río Negro,Ñorquincó,Ñorquincó
Río Negro,Pilcaniyeu,Pilcaniyeu
Río Negro,Pomona,Avellaneda
Río Negro,Río Colorado,Pichi Mahuida
Río Negro,San Antonio Oeste,San Antonio
Río Negro,San Carlos de Bariloche,Bariloche
Río Negro,Sierra Colorada,9 de Julio
Río Negro,Sierra Grande,San Antonio
Río Negro,Valcheta,Valcheta
Río Negro,Viedma,Adolfo Alsina
Río Negro,Villa Regina,General Roca
Santa Cruz,28 de Noviembre,Güer Aike
Santa Cruz,Bajo Caracoles,Río Chico
Santa Cruz,Caleta Olivia,Deseado
Santa Cruz,Cañadón Seco,Deseado
Santa Cruz,Comandante Luis Piedra Buena,Corpen Aike
Santa Cruz,El Calafate,Lago Argentino
Santa Cruz,El Chaltén,Lago Argentino
Santa Cruz,Fitz Roy,Deseado
Santa Cruz,Gobernador Gregores ,Río Chico
Santa Cruz,Jaramillo,Deseado
Santa Cruz,Koluel Kayke,Deseado
Santa Cruz,Lago Posadas,Río Chico
Santa Cruz,Las Heras ,Deseado
Santa Cruz,Los Antiguos,Lago Buenos Aires
Santa Cruz,Perito Moreno,Lago Buenos Aires
Santa Cruz,Pico Truncado,Deseado
Santa Cruz,Puerto Deseado,Deseado
Santa Cruz,Puerto San Julián,Magallanes
Santa Cruz,Puerto Santa Cruz,Corpen Aike
Santa Cruz,Río Gallegos,Güer Aike
Santa Cruz,Río Turbio,Güer Aike
Santa Cruz,Tres Lagos,Lago Argentino
Santiago del Estero,Beltrán,Robles
Santiago del Estero,Campo Gallo,Alberdi
Santiago del Estero,Colonia Dora,Avellaneda
Santiago del Estero,Clodomira,Banda
Santiago del Estero,Fernández,Robles
Santiago del Estero,Frías,Choya
Santiago del Estero,Garza,Sarmiento
Santiago del Estero,Gobernador Pinto,Aguirre
Santiago del Estero,Ingeniero Forres,Robles
Santiago del Estero,La Banda,Banda
Santiago del Estero,Loreto,Loreto
Santiago del Estero,Los Juríes,General Taboada
Santiago del Estero,Los Telares,Salavina
Santiago del Estero,Monte Quemado,Copo
Santiago del Estero,Nueva Esperanza,Pellegrini
Santiago del Estero,Pampa de los Guanacos,Copo
Santiago del Estero,Pozo Hondo,Jiménez
Santiago del Estero,Quimilí,Moreno
Santiago del Estero,San Pedro de Guasayán,Guasayán
Santiago del Estero,Santiago del Estero,Capital
Santiago del Estero,Selva,Rivadavia
Santiago del Estero,Sumampa,Quebrachos
Santiago del Estero,Suncho Corral,Juan Felipe Ibarra
Santiago del Estero,Termas de Río Hondo,Río Hondo
Santiago del Estero,Tintina,Moreno
Santiago del Estero,Villa Atamisqui,Atamisqui
Santiago del Estero,Villa Ojo de Agua,Ojo de Agua
Tucumán,Aguilares,Río Chico
Tucumán,Alderetes,Cruz Alta
Tucumán,Banda del Río Salí,Cruz Alta
Tucumán,Bella Vista,Leales
Tucumán,Burruyacú ,Burruyacú
Tucumán,Concepción ,Chicligasta
Tucumán,Famaillá,Famaillá
Tucumán,Graneros,Graneros
Tucumán,Juan B. Alberdi,Juan Bautista Alberdi
Tucumán,La Cocha,La Cocha
Tucumán,Las Talitas,Tafí Viejo
Tucumán,Lules,Lules
Tucumán,Monteros,Monteros
Tucumán,San Miguel de Tucumán,Capital
Tucumán,Simoca,Simoca
Tucumán,Tafí del Valle,Tafí del Valle
Tucumán,Tafí Viejo,Tafí Viejo
Tucumán,Trancas,Trancas
Tucumán,Yerba Buena,Yerba Buena
